identifier,serie,title,date,langue
oai:persee:article/canan_0755-9232_1971_num_4_1_1265,Cahiers Nantais,Introduction,1971,fre
oai:persee:article/canan_0755-9232_1971_num_4_1_1266,Cahiers Nantais,L'austère cheminement du souhaitable au possible. Présentation géographique du schéma directeur de l'aire métropolitaine Nantes - St-Nazaire (S.D.A.M.),1971,fre
oai:persee:article/canan_0755-9232_1970_num_2_1_1258,Cahiers Nantais,L'homme et la nature : la biogéographie à l'heure de l'aménagement.,1970,fre
oai:persee:article/simon_0409-8846_1974_num_2_1_893,Cahiers Saint-Simon,Saint-Simon et le bailli Claude. Chronologie de leurs rapports,1974,fre
oai:persee:article/simon_0409-8846_1974_num_2_1_898,Cahiers Saint-Simon,La disgrâce du duc Claude de Saint-Simon d'après une lettre autographe inédite,1974,fre
oai:persee:article/simon_0409-8846_1973_num_1_1_885,Cahiers Saint-Simon,La faute de l'abbé de Saint-Aignan (lettres inédites de Saint-Simon),1973,fre
oai:persee:article/casla_1283-3878_1997_num_1_1_855,Cahiers slaves,Le rite russe de la distribution du destin,1997,fre
oai:persee:article/casla_1283-3878_1997_num_1_1_1175,Cahiers slaves,Sommaire,1997,fre
oai:persee:article/casla_1283-3878_1997_num_1_1_867,Cahiers slaves,La première sortie pour l'estivage dans le Poles 'e,1997,fre
oai:persee:article/calib_0575-2124_1964_num_1_1_900,Caliban,Une nouvelle source d’Anne Radcliffe : Les mémoires du Comte de Comminge,1964,fre
oai:persee:article/calib_0575-2124_1965_num_2_1_903,Caliban,Wycherley et Webster,1965,fre
oai:persee:article/calib_0575-2124_1965_num_2_1_909,Caliban,Beckett and the Fictional Tradition,1965,fre
oai:persee:article/cemot_0764-9878_1985_num_1_1_1127,CEMOTI,Présentation,1985,fre
oai:persee:article/cemot_0764-9878_1985_num_1_1_863_t1_0079_0000_1,CEMOTI,"Ali Kazancigil & Ergun Özbudun, eds., Atatürk Founder of a modern state, 1981",1985,fre
oai:persee:article/cemot_0764-9878_1985_num_1_1_859,CEMOTI,Immigrant candidates in the Netherlands,1985,fre
oai:persee:article/cvnvp_0981-8812_1986_num_1_1_1079,Cette violence dont nous ne voulons plus,Une lettre reçue,1986,fre
oai:persee:article/cvnvp_0981-8812_1986_num_1_1_854,Cette violence dont nous ne voulons plus,Activités de l'association,1986,fre
oai:persee:article/cvnvp_0981-8812_1986_num_1_1_866,Cette violence dont nous ne voulons plus,Bulletin d’adhésion - Bulletin d'abonnement,1986,fre
oai:persee:article/chana_1111-858x_1950_num_1_1_1165,Chantiers. Revue illustrée de la construction en Afrique du Nord,"Les établissements Rodari, à Biskra",1950,fre
oai:persee:article/chana_1111-858x_1950_num_1_1_1151,Chantiers. Revue illustrée de la construction en Afrique du Nord,"Ecole de filles de la cité Mahieddine, à Alger",1950,fre
oai:persee:article/chana_1111-858x_1950_num_1_1_1158,Chantiers. Revue illustrée de la construction en Afrique du Nord,La reprise de la construction en Algérie,1950,fre
oai:persee:article/chime_0986-6035_1987_num_2_1_1027,Chimères. Revue des schizoanalyses,Éditorial,1987,fre
oai:persee:article/chime_0986-6035_1987_num_2_1_1037,Chimères. Revue des schizoanalyses,La joue d’Albertine,1987,fre
oai:persee:article/chime_0986-6035_1987_num_1_1_1021,Chimères. Revue des schizoanalyses,Un goût équivoque pour la vérité,1987,fre
oai:persee:article/civme_1281-704x_1995_act_1_1_1357,Civilisation Médiévale,Planches de l'article de Piotr Skubiszewski,1995,fre
oai:persee:article/civme_1281-704x_1995_act_1_1_1355,Civilisation Médiévale,Planches de l'article de John Ottaway,1995,fre
oai:persee:article/civme_1281-704x_1995_act_1_1_864,Civilisation Médiévale,Le culte des saints dans la liturgie d'Occident entre le IXe et le XIIIe siècle,1995,fre
oai:persee:article/ista_0000-0000_1979_mon_212_1_2597,Collection de l'Institut des Sciences et Techniques de l'Antiquité,"Le carnaval et la politique. Une introduction à la Comédie grecque, suivie d'un choix de fragments",1983,fre
oai:persee:article/ista_0000-0000_1962_mon_46_1_1010,Collection de l'Institut des Sciences et Techniques de l'Antiquité,La formation des composés nominaux du latin,1962,fre
oai:persee:article/ista_0000-0000_1981_mon_172_1_1022,Collection de l'Institut des Sciences et Techniques de l'Antiquité,"L'épouse du dieu, Ahmes Néfertary : documents sur sa vie et son culte posthume",1981,fre
oai:persee:article/edyte_1762-4304_2003_num_1_1_873,Collection EDYTEM. Cahiers de géographie,Les grands écroulements rocheux de 1920 et de 1997 sur le glacier de la Brenva (massif du Mont-Blanc) : un vecteur géomorphologique pour la reconstitution de l'histoire holocène d'un bassin glaciaire de la haute montagne alpine,2003,fre
oai:persee:article/edyte_1762-4304_2003_num_1_1_867,Collection EDYTEM. Cahiers de géographie,"La métamorphose des lits torrentiel à la fin du XIXe siècle : un effet du changement climatique ou du reboisement ? (bassin du Haut-Bez, Drôme)",2003,fre
oai:persee:article/edyte_1762-4304_2003_num_1_1_880,Collection EDYTEM. Cahiers de géographie,Erosion et lutte anti-érosive dans les milieux sahélo-soudaniens,2003,fre
oai:persee:article/ethni_0336-8459_1971_num_1_1_850,Collection IDERIC,Survey of race relations in Britain,1971,fre
oai:persee:article/ethni_0336-8459_1971_num_1_1_862,Collection IDERIC,À propos d'une enquête sociologique sur les gitans et nomades de France — Méthode et prospective,1971,fre
oai:persee:article/ethni_0336-8459_1971_num_1_1_859,Collection IDERIC,Problems of settlement from the immigrants' point of view,1971,fre
oai:persee:article/ethni_0336-8459_1971_num_1_1_859,Collection IDERIC,Problems of settlement from the immigrants' point of view,1971,fre
oai:persee:article/ethni_0336-8459_1971_num_1_1_850,Collection IDERIC,Survey of race relations in Britain,1971,fre
oai:persee:article/ethni_0336-8459_1971_num_1_1_845,Collection IDERIC,Opening address,1971,fre
oai:persee:article/aommb_2023-1792_1893_num_1_1_861,Collections de glaciologie,Études scientifiques exécutées dans le tunnel du Mont-Blanc,1893,fre
oai:persee:article/aommb_2023-1792_1893_num_1_1_851,Collections de glaciologie,Règlement de l'observatoire,1893,fre
oai:persee:article/aommb_2015-7509_1905_num_6_1_982,Collections de glaciologie,Table des matières,1905,fre
oai:persee:article/etgla_0983-6500_1927_num_6_1_932,Collections de glaciologie,Campagne glaciologique de 1919 dans l'Oisans (face nord),1927,fre
oai:persee:article/aommb_2023-1792_1893_num_1_1_857,Collections de glaciologie,Etudes sur les mouvements des neiges au sommet du Mont-Blanc,1893,fre
oai:persee:article/aommb_2023-1792_1896_num_2_1_933,Collections de glaciologie,Nouvelles expériences d'actinométrie solaire exécutées au Mont Blanc en 1891,1896,fre
oai:persee:article/shf_0000-0000_1901_num_1_1_1023_t1_0147_0000_6,Collections numériques de la Sorbonne,"484. Winebaudus (S.), S. Guénébaud, abbé de Saint-Loup à Troyes",1901,fre
oai:persee:article/shf_0000-0000_1901_num_1_1_1013_t1_0114_0000_12,Collections numériques de la Sorbonne,"296. Alpinus (S.), évêque de Châlons, dans Acta sanctorum, sept., III, 85-86",1901,fre
oai:persee:article/shf_0000-0000_1901_num_1_1_1024_t1_0150_0000_4,Collections numériques de la Sorbonne,"504. Adalgisus (S.), prêtre, honoré en Thiérache, dans Acta sanctorum, juin, I, 223-227",1901,fre
oai:persee:article/ccmaa_1110-6824_1889_num_1887_5_15154,Comité de Conservation des Monuments de l'Art Arabe,Examen,1889,fre
oai:persee:article/ccmaa_1110-6824_1889_num_1887_5_4302,Comité de Conservation des Monuments de l'Art Arabe,4. Sébil Soliman Chaouiche,1889,fre
oai:persee:article/ccmaa_1110-6824_1886_num_1885_3_4132,Comité de Conservation des Monuments de l'Art Arabe,Procès-verbal n° 17,1886,fre
oai:persee:article/colan_0336-1500_1970_num_7_1_3830,Communication & Langages,"Pour l'éducation du consommateur, la P.P.E.",1970,fre
oai:persee:article/colan_0336-1500_1969_num_4_1_3773,Communication & Langages,Critères qualitatifs et recherche média,1969,fre
oai:persee:article/colan_0336-1500_1970_num_6_1_3807,Communication & Langages,La publicité au secours de la presse. Entretien avec Daniel Toscan du Plantier,1970,fre
oai:persee:article/comm_0588-8018_1961_num_1_1_931,Communications,J. Marcus-Steiff. Les études de motivation,1961,fre
oai:persee:article/comm_0588-8018_1961_num_1_1_933,Communications,Jacques Siclier. Nouvelle vague ?,1961,fre
oai:persee:article/comm_0588-8018_1961_num_1_1_2211,Communications,Editorial,1961,fre
oai:persee:article/crai_0065-0536_1951_num_95_1_19635,Comptes rendus des séances de l'Académie des Inscriptions et Belles-Lettres,Informations diverses,1951,fre
oai:persee:article/crai_0065-0536_1951_num_95_1_9685,Comptes rendus des séances de l'Académie des Inscriptions et Belles-Lettres,Le plan de la mosquée de Hassan à Rabat,1951,fre
oai:persee:article/crai_0065-0536_1951_num_95_1_9678,Comptes rendus des séances de l'Académie des Inscriptions et Belles-Lettres,Rapport du Secrétaire perpétuel sur l'état des publications de l'Académie durant Ie 2e semestre de 1950  lu dans la séance du 5 janvier 1951 ,1951,fre
oai:persee:article/cdfn_0000-0009_1978_num_1_1_855,Coordination des femmes noires,"A nos soeurs Sud-Africaines (meeting anti Apartheid, 1978)",1978,fre
oai:persee:article/cdfn_0000-0009_1978_num_1_1_845,Coordination des femmes noires,Contraception et politique,1978,fre
oai:persee:article/cdfn_0000-0009_1978_num_1_1_843,Coordination des femmes noires,Quelle sexualité ? Quelle connaissance de notre corps ?,1978,fre
oai:persee:article/cifm_0000-0000_1977_cat_3_1_864,Corpus des inscriptions de la France médiévale,"I. Poitou-Charentes. 3. Charente, Charente-Maritime, Deux-Sèvres",1977,fre
oai:persee:article/cifm_0000-0000_1984_cat_9_1_870,Corpus des inscriptions de la France médiévale,"Aveyron, Lot, Tarn",1984,fre
oai:persee:article/cifm_0000-0000_1992_cat_16_1_877,Corpus des inscriptions de la France médiévale,"Alpes-de-Haute-Provence, Hautes-Alpes, Ardèche, Drôme",1992,fre
oai:persee:article/coula_1630-0351_2003_mon_3_1_847,Couleurs anglaises,Graham Swift. Écrire l’imagination,2003,fre
oai:persee:article/coula_1630-0351_2004_mon_4_1_848,Couleurs anglaises,Jeanette Winterson. Le miracle ordinaire,2004,fre
oai:persee:article/coula_1630-0351_2001_mon_1_1_845,Couleurs anglaises,David Lodge. Le choix de l’éloquence,2001,fre
oai:persee:article/criti_1290-7839_1998_num_1_1_1364,Critique internationale,La privatisation de la diplomatie : une expérience caucasienne,1998,fre
oai:persee:article/criti_1290-7839_1998_num_1_1_1349,Critique internationale,L'économie mondiale sous le signe du risque,1998,fre
oai:persee:article/criti_1290-7839_1998_num_1_1_1356_t9_0067_0000_52,Critique internationale,"Kumar (Radha), Divide and Fall? Bosnia in the Annals of Partition",1998,fre
oai:persee:article/pumus_1164-5385_1992_num_2_1_1230_t1_0195_0000_1,Culture & Musées,Jeunes et musées: « Une carte européenne des musées ». Juniors Communication,1992,fre
oai:persee:article/pumus_1164-5385_1992_num_1_1_1242_t1_0153_0000_2,Culture & Musées,"Enquêtes sur la fréquentation du Musée d'Orsay et du Musée D'Art Moderne et Contemporain de Saint- Etienne en 1988, COFREMCA",1992,fre
oai:persee:article/pumus_1164-5385_1992_num_1_1_1242_t1_0153_0000_5,Culture & Musées,"Les musées et l'action culturelle, Public et Communication",1992,fre
oai:persee:article/debaj_1275-2193_1996_ant_1_1_1040,Débats Jeunesses,Des fédérations au sport de quartier : la diversification et la délocalisation des pratiques sportives,1996,fre
oai:persee:article/debaj_1275-2193_1997_mon_2_1_1045,Débats Jeunesses,Les enfants de la liberté. Études sur l'autonomie sociale et culturelle des jeunes en France. 1970-1996,1997,fre
oai:persee:article/debaj_1275-2193_1996_ant_1_1_1039,Débats Jeunesses,"Politiques publiques, société civile et associations d'insertion par l'économique",1996,fre
oai:persee:article/ds_0378-7931_1977_num_1_3_952,Déviance et société,"Si la violence existe, discours du violent",1977,fre
oai:persee:article/ds_0378-7931_1977_num_1_2_949,Déviance et société,Paroles de détenus,1977,fre
oai:persee:article/ds_0378-7931_1977_num_1_3_951,Déviance et société,"Interactionisme et néo-marxisme, une analyse critique",1977,fre
oai:persee:article/diasp_1637-5823_2002_num_1_1_866,Diasporas : histoire et sociétés,La diaspora des huguenots,2002,fre
oai:persee:article/diasp_1637-5823_2002_num_1_1_870,Diasporas : histoire et sociétés,Résumés,2002,fre
oai:persee:article/diasp_1637-5823_2002_num_1_1_868,Diasporas : histoire et sociétés,L'humus des mémoires. Saga d'un écrivain diasporique,2002,fre
oai:persee:article/dhjap_0000-0000_1963_dic_1_1_987_t2_0102_0000_2,Dictionnaire historique du Japon,331. Azuchi,1963,fre
oai:persee:article/dhjap_0000-0000_1963_dic_1_1_987_t2_0105_0000_4,Dictionnaire historique du Japon,341. Azuma-kagami,1963,fre
oai:persee:article/dhjap_0000-0000_1963_dic_1_1_987_t2_0104_0000_5,Dictionnaire historique du Japon,338. Azukigayu,1963,fre
oai:persee:article/didas_1250-0739_1993_num_1_1_918,Didaskalia,L'ordinateur outil d'investigation scientifique au lycée : propositions et implications didactiques,1993,fre
oai:persee:article/didas_1250-0739_1993_num_1_1_920_t1_0141_0000_2,Didaskalia,"Audigier F., Fillon P. (1991). Enseigner l’histoire des sciences et des techniques. Une approche pluridisciplinaire. Paris, INRP",1993,fre
oai:persee:article/didas_1250-0739_1993_num_1_1_915,Didaskalia,Jouer les notes sans connaître la mélodie : le caractère étroit de la recherche en didactique de la biologie,1993,fre
oai:persee:article/diver_0335-0894_1995_num_100_1_7027,Diversité,Formateurs et outils dans des situations d'individualisation des apprentissages,1995,fre
oai:persee:article/diver_0335-0894_1995_num_101_1_7487,Diversité,L'immigration kurde. Un espace conflictuel,1995,fre
oai:persee:article/diver_0335-0894_1995_num_100_1_8377,Diversité,Éditorial,1995,fre
oai:persee:article/dhs_0070-6760_1970_num_2_1_937_t1_0338_0000_1,Dix-huitième Siècle,"List Hochschulreihe, Geschichte des politischen Denkens; n° 1501 : Zwischen Revolution und Restauration ; n° 1502 : Aufklârung und Materialismus im Frankreich des 18. Jahrhunderts ; n° 1503 : Die Revolution des Geistes, 1968",1970,fre
oai:persee:article/dhs_0070-6760_1969_num_1_1_905,Dix-huitième Siècle,Réédition de la collection complète des Éphémérides du Citoyen (1765-1788),1969,fre
oai:persee:article/dhs_0070-6760_1970_num_2_1_938_t1_0354_0000_2,Dix-huitième Siècle,"Jean-Louis Leutrat, Diderot.Éditions universitaires, Classiques du XXe siècle, 1968",1970,fre
oai:persee:article/drlav_0754-9296_1975_num_12_1_1093,Documentation et recherche en linguistique allemande contemporaine,Les trois classes de Transformations définies par J.E. Emonds dans Root and structure preserving transformations,1975,fre
oai:persee:article/drlav_0754-9296_1975_num_12_1_1092,Documentation et recherche en linguistique allemande contemporaine,De l'établissement d'une contrainte : Le Principe de Croisement,1975,fre
oai:persee:article/drlav_0754-9296_1975_num_12_1_1091,Documentation et recherche en linguistique allemande contemporaine,Les principales contraintes proposées par Ross dans Constraints on variables in syntax,1975,fre
oai:persee:article/dam_0184-1068_1986_num_9_1_984,Documents d'Archéologie Méridionale,Vestiges de constructions gallo-romaines à Aix-en-Provence,1986,fre
oai:persee:article/dam_0184-1068_1986_num_9_1_979,Documents d'Archéologie Méridionale,Le point sur cinq années de recherches [L'origine des amphores massaliètes (II)],1986,fre
oai:persee:article/dam_0184-1068_1980_num_3_1_899,Documents d'Archéologie Méridionale,"Un torse préromain découvert près de l'oppidum de Constantine (commune de Lançon, B. du Rh.).",1980,fre
oai:persee:article/docum_0992-7654_1988_num_1_1_870_t1_0025_0000_1,Documents pour l'histoire du français langue étrangère ou seconde,"Etienne François, ""Les échanges culturels entre la France et les pays germaniques au XVIIIe siècle"", Actes du Colloque de 1985 in Bulletin de l’association des historiens modernistes des Universités (n° 10)",1988,fre
oai:persee:article/docum_0992-7654_1988_num_2_1_887,Documents pour l'histoire du français langue étrangère ou seconde,... Et l'image vint. Une enquête de la S.I.H.F.L.E.S.,1988,fre
oai:persee:article/docum_0992-7654_1988_num_1_1_869_t1_0022_0000_4,Documents pour l'histoire du français langue étrangère ou seconde,"R. C. Alston, The french language grammars miscellaneous treatises dictionaries, printed for the author, 1985",1988,fre
oai:persee:article/dreso_0769-3362_1986_num_4_1_1529_t1_0468_0000_7,Droit et société,"Paul Amselek, édit., La Pensée de Charles Eisenmann, 1986",1986,fre
oai:persee:article/dreso_0769-3362_1985_num_1_1_876,Droit et société,Editorial,1985,fre
oai:persee:article/dreso_0769-3362_1986_num_4_1_937,Droit et société,Le théorème de Gödel et la norme fondamentale de Kelsen,1986,fre
oai:persee:article/ebisu_1340-3656_1993_num_2_1_881,Ebisu,Les particularités du système japonais de sous-traitance. Une comparaison euro-nippone,1993,fre
oai:persee:article/ebisu_1340-3656_1994_num_4_1_896,Ebisu,"Études Anciennes et Études Nationales dans le Japon du XVIIIème siècle : la Nature, l'Artifice et le Mal chez Ogyû Sorai et Motoori Norinaga",1994,fre
oai:persee:article/ebisu_1340-3656_1994_num_5_1_1552,Ebisu,Avant-propos,1994,fre
oai:persee:article/ecmed_0153-8756_1976_num_2_1_921,Ecologia mediterranea,Les formations à conifères méditerranéens en Syrie littorale,1976,fre
oai:persee:article/ecmed_0153-8756_1976_num_2_1_922,Ecologia mediterranea,Quelques aspects des forêts supraméditerranéennes et montagnardes de l'Apennin méridional,1976,fre
oai:persee:article/ecmed_0153-8756_1976_num_2_1_924,Ecologia mediterranea,Place et rôle des espèces du genre Pinus dans la végétation du Sud-Est Méditerranéen Français,1976,fre
oai:persee:article/ecop_0338-4217_1972_num_8_1_1955,Économie & prévision,Simulation économique multinationale,1972,fre
oai:persee:article/ecop_0338-4217_1973_num_9_1_1963,Économie & prévision,Compatibilité entre approches sectorielle et globale,1973,fre
oai:persee:article/ecop_0338-4217_1972_num_5_1_1922,Économie & prévision,Le modèle de financement dans le secteur de l'Energie,1972,fre
oai:persee:article/ecoap_1147-7423_1946_num_1_2_3779,Économie appliquée,Les Budgets Nationaux,1946,fre
oai:persee:article/ecoap_1147-7423_1946_num_1_2_3777,Économie appliquée,Quelques applications de la Théorie des surplus du consommateur,1946,fre
oai:persee:article/ecoap_1147-7423_1946_num_1_2_3781,Économie appliquée,Un précurseur sans disciples : Lavoisier,1946,fre
oai:persee:article/estat_0336-1454_1969_num_2_1_1790,Economie et Statistique,Les vacances d'été des Français en 1968,1969,fre
oai:persee:article/estat_0336-1454_1969_num_1_1_2187,Economie et Statistique,"Les conditions de vie des ménages : consommation, épargne, revenus",1969,fre
oai:persee:article/estat_0336-1454_1969_num_2_1_1793,Economie et Statistique,"Sur 100 personnes actives 15 paysans, 38 ouvriers",1969,fre
oai:persee:article/ecoru_1146-9374_1949_num_1_1_1142,Économie rurale,La population agricole en France,1949,fre
oai:persee:article/ecoru_1146-9374_1949_num_1_2_1145,Économie rurale,Les méthodes de calcul des prix de revient agricoles,1949,fre
oai:persee:article/ecoru_1146-9374_1949_num_1_1_1141,Économie rurale,Le travail féminin et le travail temporaire dans les exploitations agricoles du département d'Ille-Et-Vilaine,1949,fre
oai:persee:article/esag_2275-7570_1963_num_143_3_1493,Économies et Sociétés. Systèmes Agroalimentaires (AG),Le développement des zones rurales : analyse et prévisions économiques,1963,fre
oai:persee:article/esag_2275-7570_1962_sup_122_1_1175,Économies et Sociétés. Systèmes Agroalimentaires (AG),Recherche opérationnelle et agriculture,1962,fre
oai:persee:article/esag_2275-7570_1962_sup_122_1_1173,Économies et Sociétés. Systèmes Agroalimentaires (AG),Démographie et développement,1962,fre
oai:persee:article/enfan_0013-7545_1948_num_1_2_1079,Enfance,Influence de la guerre dans les applications de la psychologie aux U.S.A.,1948,fre
oai:persee:article/enfan_0013-7545_1948_num_1_5_1108,Enfance,Psychologie du dessin enfantin,1948,fre
oai:persee:article/enfan_0013-7545_1948_num_1_2_1076,Enfance,A propos d'une enquête sur les retards scolaires dans une école parisienne.,1948,fre
oai:persee:article/equiv_0751-9532_1970_num_1_1_903,Équivalences,A propos du nouvel ouvrage de A. V. Fedorov : OSNOVY OBCHTCHEJ TEORII PEREVODA,1970,fre
oai:persee:article/equiv_0751-9532_1971_num_2_2_913_t1_0037_0000_1,Équivalences,"Journée européenne de la traduction métallurgique et IIe séminaire international de la traduction (Liège, 12-14 mai 1971)",1971,fre
oai:persee:article/equiv_0751-9532_1971_num_2_1_905,Équivalences,Un exemple d'imprécision lexicale : en fonction de,1971,fre
oai:persee:article/spgeo_0046-2497_1972_num_1_1_1298,Espace géographique,Organisation de l'espace et cartographie de modèles,1972,fre
oai:persee:article/spgeo_0046-2497_1972_num_1_3_1341,Espace géographique,Réflexions sur l'aménagement touristique du littoral du Languedoc-Roussillon,1972,fre
oai:persee:article/spgeo_0046-2497_1972_num_1_4_1359,Espace géographique,Essai de cartographie du « paysage global » en zone tropicale,1972,fre
oai:persee:article/espat_0339-3267_1976_num_4_1_4265,Espaces Temps,Lettre reçue,1976,fre
oai:persee:article/espat_0339-3267_1978_num_8_1_2986,Espaces Temps,Des syndicalistes géographes,1978,fre
oai:persee:article/espat_0339-3267_1979_num_10_1_3020,Espaces Temps,Rien de bien défini,1979,fre
oai:persee:article/etrop_1147-3991_1990_ant_2_1_1324,Espaces tropicaux,Transmigration et aménagement des marais maritimes sur la côte sud de Kalimantan (Indonésie),1990,fre
oai:persee:article/etrop_1147-3991_1989_ant_1_1_1286,Espaces tropicaux,Avant-propos,1989,fre
oai:persee:article/etrop_1147-3991_1989_ant_1_1_1294,Espaces tropicaux,Evolution des espaces péri-urbains à Brazzaville (Congo) et Cotonou (Bénin),1989,fre
oai:persee:article/ecelt_0373-1928_1936_num_1_1_1115_t2_0169_0000_2,Etudes Celtiques,"Walter V. Wartburg. Französisches Etymologisches Wörterbuch, Lieferung 17-28. Leipzig, Teubner, 1930-1934",1936,fre
oai:persee:article/ecelt_0373-1928_1936_num_1_1_1116_t2_0189_0000_2,Etudes Celtiques,XV. Une statue de Cuchullin à Dublin,1936,fre
oai:persee:article/ecelt_0373-1928_1936_num_1_1_1116_t2_0175_0000_2,Etudes Celtiques,"II. Monuments et Mémoires de la Fondation Piot, t. XXXIV",1936,fre
oai:persee:article/etchi_0755-5857_1983_num_1_1_996_t1_0105_0000_2,Études chinoises,"Kantor, Philippe. Le Chinois sans peine., tome I, avril 1981, 394 pages, tome II, septembre 1982",1983,fre
oai:persee:article/etchi_0755-5857_1983_num_1_1_996_t1_0075_0000_2,Études chinoises,"Zeng Pu .Fleur sur l'Océan des Péchés. Roman traduit du chinois par Isabelle Bijon,1983",1983,fre
oai:persee:article/etchi_0755-5857_1983_num_1_1_997,Études chinoises,Bibliographies,1983,fre
oai:persee:article/etaf_0768-2352_1982_mon_1_1_921,Études d'antiquités africaines,"Inscriptions antiques du Maroc, 2. Inscriptions latines",1982,fre
oai:persee:article/etaf_0768-2352_1980_mon_1_1_926,Études d'antiquités africaines,Le temple B de Volubilis,1980,fre
oai:persee:article/etaf_0768-2352_1978_mon_1_1_936,Études d'antiquités africaines,"L’habitation tunisoise. Pierre, marbre et fer dans la construction et le décor",1978,fre
oai:persee:article/irlan_0183-973x_1976_num_1_1_2057,Études irlandaises,James Clarence Mangan : In Exile At Home,1976,fre
oai:persee:article/irlan_0183-973x_1976_num_1_1_2076_t1_0260_0000_1,Études irlandaises,"Robert Hogan & James Kilroy : Laying the Foundations 1902-1904, The Modern Irish Drama",1976,fre
oai:persee:article/irlan_0183-973x_1976_num_1_1_2050,Études irlandaises,Anatole Rivoallan (1886-1976),1976,fre
oai:persee:article/etnor_0014-2158_1951_num_1_2_2971,Études Normandes,Un centre d’études d’intérêt public,1951,fre
oai:persee:article/etnor_0014-2158_1953_num_6_16_3052,Études Normandes,Le port de Caen et le canal de Caen à la mer,1953,fre
oai:persee:article/etnor_0014-2158_1952_num_5_15_3051,Études Normandes,Rouen grand port moderne. IV - Organisation commerciale,1952,fre
oai:persee:article/renan_0046-2659_1972_num_9_1_1036,Études Renaniennes,Conférence de Henri Gouhier,1972,fre
oai:persee:article/renan_0046-2659_1972_num_9_1_1836,Études Renaniennes,Ernest Renan et la Bretagne,1972,fre
oai:persee:article/renan_0046-2659_1971_num_8_1_1033,Études Renaniennes,A l’Académie française,1971,fre
oai:persee:article/rural_0014-2182_1961_num_3_1_988,Études rurales,Le marais poitevin,1961,fre
oai:persee:article/rural_0014-2182_1963_num_8_1_1051,Études rurales,Les formations végétales du Sud-Est de Madagascar,1963,fre
oai:persee:article/rural_0014-2182_1963_num_10_1_1091,Études rurales,L'usage de la terre dans un village à Ejido du Mexique,1963,fre
oai:persee:article/emod_2107-6642_2011_num_2_1_855,Europa Moderna. Revue d'histoire et d'iconologie,Iconologie du Chevalier Cesare Ripa de Pérouse,2011,fre
oai:persee:article/emod_2107-6642_2012_num_3_1_859,Europa Moderna. Revue d'histoire et d'iconologie,"Souffrir pour être belle : l’enlaidissement au Carmel, entre image de soi et regard des autres",2012,fre
oai:persee:article/emod_2107-6642_2010_num_1_1_848,Europa Moderna. Revue d'histoire et d'iconologie,La satire chez Laurent de Briançon ou la revanche d’un provincial sur la Cour au XVIe siècle,2010,fre
oai:persee:article/emixx_1245-2300_2006_num_3_2_1083,Exils et migrations ibériques au XXe siècle,"L’éducation des immigrés, entre la défense de l’identité espagnole et la politique d’assimilation française",2006,fre
oai:persee:article/emixx_1245-2300_2006_num_3_2_1090_t1_0348_0000_2,Exils et migrations ibériques au XXe siècle,"Benito Bermejo, Sandra Checa, Libro memorial. Españoles deportados a los campos nazis, 2006",2006,fre
oai:persee:article/emixx_1245-2300_2006_num_3_2_1090_t1_0358_0000_3,Exils et migrations ibériques au XXe siècle,"Fernández Asperilla Ana, Mineros, sirvientas y militantes. Medio siglo de emigración española en Bélgica, 2006",2006,fre
oai:persee:article/oroc_0754-5010_1982_num_1_1_876,"Extrême-Orient, Extrême-Occident ",Éditorial,1982,fre
oai:persee:article/oroc_0754-5010_1983_num_2_2_886,"Extrême-Orient, Extrême-Occident ",L'ouverture aux idées d'Occident : quelle influence de la Révolution française sur la révolution républicaine de 1911?,1983,fre
oai:persee:article/oroc_0754-5010_1983_num_2_2_890,"Extrême-Orient, Extrême-Occident ","Document I : De Montargis à Pékin, en quête d'un plan pour la Révolution : une lettre de Cai Hesen à Mao Zedong (13 août 1920)",1983,fre
oai:persee:article/flang_1244-5460_1993_num_1_1_1034,Faits de langues,Iconicité des Langues des Signes,1993,fre
oai:persee:article/flang_1244-5460_1993_num_1_1_1045,Faits de langues,"No, de et node ou la (re)construction de la suite (chrono)logique",1993,fre
oai:persee:article/flang_1244-5460_1993_num_1_1_1044,Faits de langues,Ces mouvements qui font signe. Motivation et syntaxe,1993,fre
oai:persee:article/femdi_0430-3024_1952_num_1_1_2640,Femmes Diplômées,Mme Madeleine Vèzes,1952,fre
oai:persee:article/femdi_0430-3024_1952_num_1_1_2643,Femmes Diplômées,[Informations diverses],1952,fre
oai:persee:article/femdi_0430-3024_1952_num_1_1_2637,Femmes Diplômées,L'accueil,1952,fre
oai:persee:article/fdart_1265-0692_1994_num_1_1_1079,Figures de l'Art. Revue d'études esthétiques,Ignace de Loyola ou le pli de l’autre,1994,fre
oai:persee:article/fdart_1265-0692_1994_num_1_1_1065,Figures de l'Art. Revue d'études esthétiques,Les plis de l’étoffe ou la tauromachie,1994,fre
oai:persee:article/fdart_1265-0692_1994_num_1_1_1074,Figures de l'Art. Revue d'études esthétiques,"Le pli du tissu, stratagèmes pour l’expression plastique",1994,fre
oai:persee:article/flux_1154-2721_2000_num_16_39_1315,FLUX Cahiers scientifiques internationaux Réseaux et Territoires,Le mythe de Zorré,2000,fre
oai:persee:article/flux_1154-2721_2000_num_16_39_1700,FLUX Cahiers scientifiques internationaux Réseaux et Territoires,Économie des réseaux (Nicolas Curien),2000,fre
